title_slug,gamertag,game_mode,position_scope,role_group,source_game_mode_label,source_position_label,asset_path
nhl25,HenryTheBobJ,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,/mnt/k/NHL25/Stats/NHL_25__HenryTheBobJ__3s__defenseMen.mp4
nhl25,HenryTheBobJ,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL25/Stats/NHL_25__HenryTheBobJ__6s__all_skaters.mp4
nhl25,HenryTheBobJ,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,/mnt/k/NHL25/Stats/NHL_25__HenryTheBobJ__6s__defenseMen.mp4
nhl25,HenryTheBobJ,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,/mnt/k/NHL25/Stats/NHL_25__HenryTheBobJ__6s__goalie.mp4
nhl25,JoeyFlopfish,3s,defenseMen,skater,SEASONS EASHL 3V3,DEFENSEMEN,/mnt/k/NHL25/Stats/NHL_25__JoeyFlopfish__3s__defenseMen.mp4
nhl25,JoeyFlopfish,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL25/Stats/NHL_25__JoeyFlopfish__6s__all_skaters.mp4
nhl25,JoeyFlopfish,6s,center,skater,SEASONS EASHL 6V6,CENTER,/mnt/k/NHL25/Stats/NHL_25__JoeyFlopfish__6s__center.mp4
nhl25,JoeyFlopfish,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,/mnt/k/NHL25/Stats/NHL_25__JoeyFlopfish__6s__defenseMen.mp4
nhl25,JoeyFlopfish,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,/mnt/k/NHL25/Stats/NHL_25__JoeyFlopfish__6s__leftWing.mp4
nhl25,JoeyFlopfish,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,/mnt/k/NHL25/Stats/NHL_25__JoeyFlopfish__6s__rightWing.mp4
nhl25,MJW501,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,/mnt/k/NHL25/Stats/NHL_25__MJW501__6s__rightWing.mp4
nhl25,MrHomiecide,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL25/Stats/NHL_25__MrHomiecide__6s__all_skaters.mp4
nhl25,MrHomiecide,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,/mnt/k/NHL25/Stats/NHL_25__MrHomiecide__6s__defenseMen.mp4
nhl25,MrHomiecide,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,/mnt/k/NHL25/Stats/NHL_25__MrHomiecide__6s__leftWing.mp4
nhl25,Pratt2016,3s,goalie,goalie,SEASONS EASHL 3V3,GOALIE,/mnt/k/NHL25/Stats/NHL_25__Pratt2016__3s__goalie.mp4
nhl25,Pratt2016,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,/mnt/k/NHL25/Stats/NHL_25__Pratt2016__6s__goalie.mp4
nhl25,camrazz,3s,wing,skater,SEASONS EASHL 3V3,WING,/mnt/k/NHL25/Stats/NHL_25__camrazz__3s__wing.mp4
nhl25,camrazz,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL25/Stats/NHL_25__camrazz__6s__all_skaters.mp4
nhl25,camrazz,6s,center,skater,SEASONS EASHL 6V6,CENTER,/mnt/k/NHL25/Stats/NHL_25__camrazz__6s__center.mp4
nhl25,camrazz,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,/mnt/k/NHL25/Stats/NHL_25__camrazz__6s__defenseMen.mp4
nhl25,camrazz,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,/mnt/k/NHL25/Stats/NHL_25__camrazz__6s__leftWing.mp4
nhl25,camrazz,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,/mnt/k/NHL25/Stats/NHL_25__camrazz__6s__rightWing.mp4
nhl25,joseph4577,6s,center,skater,SEASONS EASHL 6V6,CENTER,/mnt/k/NHL25/Stats/NHL_25__joseph4577__6s__center.mp4
nhl25,joseph4577,6s,leftWing,skater,SEASONS EASHL 6V6,LEFT WING,/mnt/k/NHL25/Stats/NHL_25__joseph4577__6s__leftWing.mp4
nhl25,silkyjoker85,3s,center,skater,SEASONS EASHL 3V3,CENTER,/mnt/k/NHL25/Stats/NHL_25__silkyjoker85__3s__center.mp4
nhl25,silkyjoker85,3s,wing,skater,SEASONS EASHL 3V3,WING,/mnt/k/NHL25/Stats/NHL_25__silkyjoker85__3s__wing.mp4
nhl25,silkyjoker85,6s,all_skaters,skater,SEASONS EASHL 6V6,ALL SKATERS,/mnt/k/NHL25/Stats/NHL_25__silkyjoker85__6s__all_skaters.mp4
nhl25,silkyjoker85,6s,center,skater,SEASONS EASHL 6V6,CENTER,/mnt/k/NHL25/Stats/NHL_25__silkyjoker85__6s__center.mp4
nhl25,silkyjoker85,6s,defenseMen,skater,SEASONS EASHL 6V6,DEFENSEMEN,/mnt/k/NHL25/Stats/NHL_25__silkyjoker85__6s__defenseMen.mp4
nhl25,silkyjoker85,6s,goalie,goalie,SEASONS EASHL 6V6,GOALIE,/mnt/k/NHL25/Stats/NHL_25__silkyjoker85__6s__goalie.mp4
nhl25,silkyjoker85,6s,rightWing,skater,SEASONS EASHL 6V6,RIGHT WING,/mnt/k/NHL25/Stats/NHL_25__silkyjoker85__6s__rightWing.mp4
